"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 1.1.348";"PASSED";"0.87";"NDXm_TICK_UTCPlus02";"M15";"13871.13";"";"3240";"1.15";"1.43";"0.08";"46.24";"0.89";"0.0";"1635.24";"0.76";"8.48";"1.02";"76.83";"51.2";"24.81";"17.71";"20.79";"16.18";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.364";"PASSED";"0.76";"NDXm_TICK_UTCPlus02";"M15";"5252.39";"";"1232";"1.18";"1.11";"0.08";"17.51";"0.8";"0.0";"1369.52";"1.22";"3.84";"0.84";"49.89";"51.39";"16.0";"15.3";"15.68";"5.04";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.368";"PASSED";"0.75";"NDXm_TICK_UTCPlus02";"M15";"4706.23";"";"1683";"1.11";"0.81";"0.05";"15.69";"0.86";"0.0";"1300.2";"1.09";"3.62";"0.62";"52.58";"51.63";"15.27";"14.01";"14.67";"7.98";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.398";"PASSED";"0.78";"NDXm_TICK_UTCPlus02";"M15";"5473.44";"";"1150";"1.23";"1.28";"0.09";"18.25";"0.84";"0.0";"1289.55";"1.43";"4.24";"1.05";"43.69";"50.77";"14.08";"13.6";"13.88";"2.48";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.407";"PASSED";"0.77";"NDXm_TICK_UTCPlus02";"M15";"5457.39";"";"1499";"1.12";"0.78";"0.07";"18.19";"0.87";"0.0";"1315.66";"0.65";"4.15";"0.59";"88.29";"51.0";"27.92";"17.9";"21.83";"7.02";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.484";"PASSED";"0.83";"NDXm_TICK_UTCPlus02";"M15";"13813.09";"";"3573";"1.13";"1.31";"0.08";"46.04";"0.88";"0.0";"2156.62";"0.67";"6.4";"0.93";"85.98";"51.44";"23.34";"15.89";"18.89";"14.24";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.490";"PASSED";"0.84";"NDXm_TICK_UTCPlus02";"M15";"4790.11";"";"640";"1.27";"1.12";"0.15";"15.97";"0.79";"0.0";"719.68";"0.81";"6.66";"0.93";"79.52";"50.71";"22.84";"14.28";"18.11";"1.51";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.2.341";"PASSED";"0.76";"NDXm_TICK_UTCPlus02";"M15";"5353.25";"";"1443";"1.12";"0.78";"0.07";"17.84";"0.86";"0.0";"1372.37";"0.65";"3.9";"0.56";"88.06";"51.04";"28.14";"18.11";"22.06";"7.02";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.2.353";"PASSED";"0.83";"NDXm_TICK_UTCPlus02";"M15";"7015.4";"";"1169";"1.23";"1.33";"0.12";"23.39";"0.89";"0.0";"1142.79";"0.95";"6.14";"1.25";"65.66";"50.97";"11.44";"8.96";"10.17";"1.93";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.2.465";"PASSED";"0.9";"NDXm_TICK_UTCPlus02";"M15";"6342.61";"";"922";"1.35";"1.69";"0.13";"21.14";"0.89";"0.0";"511.83";"1.63";"12.39";"1.75";"42.71";"51.41";"19.71";"21.94";"20.56";"3.4";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
