"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 1.1.393";"";"0.83";"NDXm_TICK_UTCPlus02";"M15";"888.99";"";"424";"1.31";"1.25";"0.15";"22.22";"0.85";"0.0";"144.61";"1.12";"6.15";"1.44";"16.71";"14.27";"10.54";"9.91";"10.24";"1.44";"0.83";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.304";"";"0.78";"NDXm_TICK_UTCPlus02";"M15";"724.93";"";"452";"1.25";"1.08";"0.11";"18.12";"0.84";"0.0";"167.09";"1.27";"4.34";"0.99";"14.23";"14.44";"12.09";"9.8";"11.08";"0.78";"0.78";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.315";"";"0.84";"NDXm_TICK_UTCPlus02";"M15";"1029.78";"";"618";"1.28";"1.32";"0.11";"25.74";"0.83";"0.0";"158.36";"1.5";"6.5";"2.4";"12.64";"14.81";"11.16";"10.38";"10.85";"1.0";"0.84";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.375";"";"0.68";"NDXm_TICK_UTCPlus02";"M15";"586.65";"";"420";"1.16";"0.64";"0.09";"14.67";"0.81";"0.0";"242.16";"0.67";"2.42";"0.87";"25.74";"14.99";"25.76";"20.65";"22.7";"2.0";"0.68";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.428";"";"0.86";"NDXm_TICK_UTCPlus02";"M15";"1170.21";"";"798";"1.22";"1.19";"0.1";"29.25";"0.83";"0.0";"152.24";"1.22";"7.69";"1.61";"14.87";"14.92";"12.26";"14.82";"13.41";"2.22";"0.86";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.396";"";"0.76";"NDXm_TICK_UTCPlus02";"M15";"1038.14";"";"606";"1.22";"1.07";"0.11";"25.96";"0.77";"0.0";"267.86";"0.94";"3.88";"1.65";"19.51";"14.95";"24.01";"20.32";"22.11";"1.94";"0.76";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.441";"";"0.8";"NDXm_TICK_UTCPlus02";"M15";"1085.78";"";"607";"1.23";"1.1";"0.12";"27.15";"0.88";"0.0";"223.38";"0.96";"4.86";"1.32";"19.35";"15.03";"24.27";"19.81";"21.99";"1.83";"0.8";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.369";"";"0.68";"NDXm_TICK_UTCPlus02";"M15";"899.99";"";"1033";"1.12";"0.77";"0.06";"22.5";"0.82";"0.0";"378.16";"0.99";"2.38";"0.97";"16.82";"14.86";"15.21";"13.77";"14.48";"3.06";"0.68";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.305";"";"0.76";"NDXm_TICK_UTCPlus02";"M15";"1321.67";"";"1333";"1.13";"0.95";"0.07";"33.04";"0.85";"0.0";"352.15";"0.84";"3.75";"1.41";"19.25";"14.28";"10.79";"8.29";"9.43";"1.72";"0.76";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.352";"";"0.72";"NDXm_TICK_UTCPlus02";"M15";"1251.98";"";"1183";"1.12";"0.8";"0.07";"31.3";"0.78";"0.0";"418.72";"0.7";"2.99";"0.86";"23.76";"14.88";"21.26";"14.29";"17.16";"4.39";"0.72";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
