"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 1.1.364";"PASSED";"0.75";"NDXm_TICK_UTCPlus02";"M15";"5059.62";"";"1232";"1.18";"1.07";"0.08";"16.87";"0.79";"0.0";"1369.52";"1.22";"3.69";"0.8";"49.86";"51.52";"16.02";"15.28";"15.68";"5.04";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.407";"PASSED";"0.75";"NDXm_TICK_UTCPlus02";"M15";"5112.31";"";"1499";"1.11";"0.73";"0.07";"17.04";"0.85";"0.0";"1388.08";"0.64";"3.68";"0.53";"88.2";"51.16";"27.96";"17.88";"21.83";"7.02";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.2.341";"PASSED";"0.74";"NDXm_TICK_UTCPlus02";"M15";"5008.17";"";"1443";"1.11";"0.73";"0.07";"16.69";"0.85";"0.0";"1444.79";"0.65";"3.47";"0.5";"87.97";"51.22";"28.18";"18.09";"22.06";"7.02";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.2.353";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"6796.6";"";"1169";"1.22";"1.29";"0.11";"22.66";"0.87";"0.0";"1142.79";"0.95";"5.95";"1.03";"65.56";"51.04";"11.44";"8.96";"10.17";"1.93";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.2.478";"PASSED";"0.75";"NDXm_TICK_UTCPlus02";"M15";"5009.79";"";"1235";"1.17";"1.06";"0.08";"16.7";"0.79";"0.0";"1369.52";"1.21";"3.66";"0.79";"49.86";"51.51";"16.06";"15.25";"15.69";"5.04";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.3.368";"PASSED";"0.79";"NDXm_TICK_UTCPlus02";"M15";"7080.06";"";"2407";"1.1";"0.89";"0.06";"23.6";"0.84";"0.0";"1559.87";"0.81";"4.54";"0.6";"70.96";"51.96";"37.33";"26.14";"31.14";"23.57";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.3.524";"PASSED";"0.71";"NDXm_TICK_UTCPlus02";"M15";"7729.29";"";"1876";"1.13";"0.97";"0.08";"25.76";"0.78";"0.0";"2737.26";"0.62";"2.82";"0.81";"93.05";"51.27";"28.4";"17.54";"21.71";"8.57";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.4.420";"PASSED";"0.84";"NDXm_TICK_UTCPlus02";"M15";"9759.87";"";"1636";"1.2";"1.34";"0.12";"32.53";"0.86";"0.0";"1480.94";"0.7";"6.59";"1.19";"88.63";"51.66";"20.3";"14.38";"16.81";"5.76";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.5.423";"PASSED";"0.73";"NDXm_TICK_UTCPlus02";"M15";"3937.35";"";"1113";"1.15";"0.86";"0.07";"13.12";"0.82";"0.0";"1231.59";"1.11";"3.2";"0.63";"53.08";"51.35";"16.15";"16.73";"16.43";"2.9";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.6.430";"PASSED";"0.71";"NDXm_TICK_UTCPlus02";"M15";"2836.57";"";"754";"1.14";"0.68";"0.07";"9.46";"0.88";"0.0";"1014.43";"0.86";"2.8";"0.52";"66.92";"50.66";"50.35";"45.4";"47.69";"6.39";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
