"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 1.1.364";"PASSED";"0.63";"NDXm_TICK_UTCPlus02";"M15";"2373.29";"";"1233";"1.08";"0.49";"0.04";"7.91";"0.66";"0.0";"1367.14";"1.1";"1.74";"0.29";"50.85";"52.1";"16.45";"14.82";"15.67";"4.96";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.398";"PASSED";"0.69";"NDXm_TICK_UTCPlus02";"M15";"3374.83";"";"1140";"1.13";"0.79";"0.06";"11.25";"0.71";"0.0";"1353.88";"1.31";"2.49";"0.39";"44.45";"51.29";"14.23";"13.37";"13.86";"2.31";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.407";"PASSED";"0.53";"NDXm_TICK_UTCPlus02";"M15";"2046.97";"";"1504";"1.04";"0.29";"0.03";"6.82";"0.78";"0.0";"2027.57";"0.61";"1.01";"0.17";"88.83";"51.87";"28.77";"17.22";"21.59";"7.14";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.1.490";"PASSED";"0.72";"NDXm_TICK_UTCPlus02";"M15";"3102.85";"";"643";"1.16";"0.72";"0.09";"10.34";"0.75";"0.0";"1014.69";"0.75";"3.06";"0.45";"80.1";"51.42";"22.98";"13.59";"17.61";"1.47";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.2.341";"PASSED";"0.56";"NDXm_TICK_UTCPlus02";"M15";"2339.03";"";"1446";"1.05";"0.34";"0.03";"7.8";"0.78";"0.0";"2029.23";"0.62";"1.15";"0.19";"88.57";"51.91";"28.96";"17.5";"21.87";"7.14";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.2.353";"PASSED";"0.69";"NDXm_TICK_UTCPlus02";"M15";"3900.25";"";"1169";"1.12";"0.73";"0.06";"13.0";"0.74";"0.0";"1570.72";"0.87";"2.48";"0.35";"66.66";"51.78";"11.53";"8.63";"9.98";"1.89";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.2.465";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"3828.13";"";"919";"1.19";"0.99";"0.08";"12.76";"0.91";"0.0";"661.56";"1.43";"5.79";"0.86";"43.42";"52.02";"20.4";"21.47";"20.84";"3.49";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.2.478";"PASSED";"0.6";"NDXm_TICK_UTCPlus02";"M15";"2222.05";"";"1236";"1.07";"0.46";"0.03";"7.41";"0.64";"0.0";"1468.2";"1.1";"1.51";"0.26";"50.85";"52.09";"16.45";"14.76";"15.64";"4.96";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.3.351";"PASSED";"0.55";"NDXm_TICK_UTCPlus02";"M15";"1904.14";"";"1344";"1.05";"0.32";"0.03";"6.35";"0.72";"0.0";"1678.95";"0.71";"1.13";"0.25";"75.58";"51.39";"14.78";"10.06";"12.02";"0.21";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.3.359";"PASSED";"0.8";"NDXm_TICK_UTCPlus02";"M15";"6496.68";"";"897";"1.22";"1.09";"0.14";"21.66";"0.72";"0.0";"1287.63";"0.62";"5.05";"0.61";"103.17";"52.15";"24.8";"16.2";"19.49";"3.28";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
