"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 1.3.368(1)";"PASSED";"0.79";"NDXm_TICK_UTCPlus02";"M15";"7080.06";"";"2407";"1.1";"0.89";"0.06";"23.6";"0.84";"0.0";"1559.87";"0.81";"4.54";"0.6";"70.96";"51.96";"37.33";"26.14";"31.14";"23.57";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.5.423(1)";"PASSED";"0.73";"NDXm_TICK_UTCPlus02";"M15";"3937.35";"";"1113";"1.15";"0.86";"0.07";"13.12";"0.82";"0.0";"1231.59";"1.11";"3.2";"0.63";"53.08";"51.35";"16.15";"16.73";"16.43";"2.9";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.7.369";"PASSED";"0.85";"NDXm_TICK_UTCPlus02";"M15";"7976.69";"";"1611";"1.16";"1.17";"0.1";"26.59";"0.83";"0.0";"1108.81";"0.66";"7.19";"0.92";"88.82";"50.04";"10.81";"7.18";"8.62";"0.25";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.7.563(1)";"PASSED";"0.77";"NDXm_TICK_UTCPlus02";"M15";"4293.98";"";"1094";"1.16";"0.94";"0.08";"14.31";"0.81";"0.0";"1055.6";"1.09";"4.07";"0.76";"54.54";"51.13";"38.28";"34.51";"36.47";"5.71";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.9.570";"PASSED";"0.89";"NDXm_TICK_UTCPlus02";"M15";"11033.84";"";"974";"1.36";"1.61";"0.22";"36.78";"0.91";"0.0";"1074.4";"0.64";"10.27";"1.44";"109.69";"51.32";"27.67";"17.78";"21.63";"3.15";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.4.403";"PASSED";"0.76";"NDXm_TICK_UTCPlus02";"M15";"4083.91";"";"592";"1.24";"0.92";"0.14";"13.61";"0.82";"0.0";"1074.05";"0.74";"3.8";"0.85";"84.12";"50.33";"20.57";"15.24";"17.51";"0.71";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.5.358";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"6638.86";"";"1538";"1.16";"1.09";"0.08";"22.13";"0.86";"0.0";"1130.79";"0.92";"5.87";"0.78";"65.78";"52.23";"31.88";"25.4";"28.5";"9.71";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.6.390";"PASSED";"0.76";"NDXm_TICK_UTCPlus02";"M15";"5274.74";"";"1638";"1.12";"0.88";"0.06";"17.58";"0.82";"0.0";"1356.44";"0.92";"3.89";"0.65";"62.19";"50.78";"27.13";"20.43";"23.63";"7.98";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.8.428";"PASSED";"0.9";"NDXm_TICK_UTCPlus02";"M15";"13344.65";"";"1831";"1.25";"1.72";"0.14";"44.48";"0.87";"0.0";"1052.28";"0.79";"12.68";"1.78";"83.28";"52.47";"24.64";"15.62";"19.59";"10.88";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.8.536";"PASSED";"0.81";"NDXm_TICK_UTCPlus02";"M15";"10545.61";"";"1901";"1.17";"1.25";"0.11";"35.15";"0.88";"0.0";"1989.35";"0.64";"5.3";"0.98";"96.91";"52.68";"35.03";"21.05";"26.49";"14.03";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
