symbol,category,description,currency_profit,currency_margin,digits,tick_size,tick_value_usd_per_lot,point_value_usd_per_lot,contract_size,price_ref,live_spread_price_units,live_spread_points,swap_long_pct_annual,swap_short_pct_annual,swap_long_usd_per_lot_day,swap_short_usd_per_lot_day,swap_note,volume_min,volume_step,min_distance_points,path
AUDUSD.sml,Forex,Australian Dollar vs US Dollar,USD,AUD,5,1e-05,1.0,100000.0,100000.0,0.7165,9e-05,9,-0.51,-1.6,-1.015,-3.1844,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.01,0.01,5,Standard\Forex\Forex.sml\AUDUSD.sml
EURGBP.sml,Forex,Euro vs Great British Pound ,GBP,EUR,5,1e-05,1.35473,135473.0,100000.0,0.8574,0.0001,10,0.0,0.0,0.0,0.0,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.01,0.01,5,Standard\Forex\Forex.sml\EURGBP.sml
EURJPY,Forex,Euro vs Japanese Yen,JPY,EUR,3,0.001,0.625888,625.887979,100000.0,,,,0.33,-2.37,,,sin precio live para estimar (mercado cerrado/sin cotizacion),0.01,0.01,5,Standard\Forex\EURJPY
EURUSD.sml,Forex,Euro vs US Dollar,USD,EUR,5,1e-05,1.0,100000.0,100000.0,1.16156,9e-05,9,-2.46,0.44,-7.9373,1.4197,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.01,0.01,5,Standard\Forex\Forex.sml\EURUSD.sml
GBPJPY.sml,Forex,Great British Pound vs Japanese Yen,JPY,GBP,3,0.001,0.625888,625.887979,100000.0,216.457,0.011,11,0.0,0.0,0.0,0.0,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.01,0.01,5,Standard\Forex\Forex.sml\GBPJPY.sml
GBPUSD.sml,Forex,Great British Pound vs US Dollar,USD,GBP,5,1e-05,1.0,100000.0,100000.0,1.35484,0.00011,11,0.0,0.0,0.0,0.0,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.01,0.01,5,Standard\Forex\Forex.sml\GBPUSD.sml
NZDUSD,Forex,New Zealand Dollar vs US Dollar,USD,NZD,5,1e-05,1.0,100000.0,100000.0,0.59162,0.00016,16,-2.1,-0.07,-3.4511,-0.115,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.01,0.01,5,Standard\Forex\NZDUSD
USDCAD,Forex,US Dollar vs Canadian Dollar,CAD,USD,5,1e-05,0.721626,72162.567833,100000.0,1.3857599999999999,0.00015,15,0.58,-2.69,1.6111,-7.4722,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.01,0.01,5,Standard\Forex\USDCAD
USDCHF,Forex,US Dollar vs Swiss Frank,CHF,USD,5,1e-05,1.237088,123708.789509,100000.0,0.80835,0.00012,12,2.84,-5.01,7.8889,-13.9167,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.01,0.01,5,Standard\Forex\USDCHF
USDJPY.sml,Forex,US Dollar vs Japanese Yen,JPY,USD,3,0.001,0.625888,625.887979,100000.0,159.773,0.011,11,1.79,-3.82,4.9722,-10.6111,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.01,0.01,5,Standard\Forex\Forex.sml\USDJPY.sml
CHINAH,Indices,"China H Shares, HKD",HKD,HKD,1,0.1,0.012757,0.127571,1.0,,,,-16.32,1.32,,,sin precio live para estimar (mercado cerrado/sin cotizacion),0.1,0.1,120,Standard\Indices\CHINAH
DE40,Indices,"Germany 40, EUR",EUR,EUR,1,0.1,0.116147,1.16147,1.0,26197.7,4.4,44,-14.07,-0.93,-11.8922,-0.7861,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.01,0.01,5,Standard\Indices\DE40
HK50,Indices,"Hong Kong 50, HKD",HKD,HKD,1,0.1,0.012757,0.127571,1.0,,,,-16.32,1.32,,,sin precio live para estimar (mercado cerrado/sin cotizacion),0.1,0.1,5,Standard\Indices\HK50
JP225,Indices,"Japan 225, JPY",JPY,JPY,1,0.1,0.000626,0.006259,1.0,,,,-10.44,-4.5600000000000005,,,sin precio live para estimar (mercado cerrado/sin cotizacion),1.0,1.0,5,Standard\Indices\JP225
UK100,Indices,"UK100, GBP",GBP,GBP,1,0.1,0.135473,1.35473,1.0,10822.3,2.3,23,-18.69,3.69,-7.6117,1.5028,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.1,0.1,5,Standard\Indices\UK100
US100,Indices,"US Tech 100, USD",USD,USD,1,0.1,0.1,1.0,1.0,29361.7,2.2,22,-18.42,3.42,-15.0234,2.7894,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.01,0.01,5,Standard\Indices\US100
US30,Indices,"Wall Street 30, USD",USD,USD,1,0.1,0.1,1.0,1.0,53207.0,4.0,40,-18.42,3.42,-27.2242,5.0547,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.01,0.01,5,Standard\Indices\US30
US500,Indices,"US SPX, USD",USD,USD,1,0.1,0.1,1.0,1.0,7675.6,0.6,6,-18.42,3.42,-3.9273,0.7292,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.01,0.01,5,Standard\Indices\US500
XAGUSD,Metales,Silver vs United States Dollar,USD,XAG,5,1e-05,0.05,5000.0,5000.0,66.1105,0.032,3200,0.0,0.0,0.0,0.0,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.001,0.001,160,Standard\Bullion\XAGUSD
XAUUSD.sml,Metales,Gold,USD,XAU,3,0.001,0.1,100.0,100.0,4428.145,0.34,340,0.0,0.0,0.0,0.0,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.001,0.001,35,Standard\Bullion\Bullion.sml\XAUUSD.sml
NATGAS,Energia,"Natural Gas, USD",USD,USD,3,0.001,10.0,10000.0,10000.0,,,,-5.3,0.3,,,sin precio live para estimar (mercado cerrado/sin cotizacion),0.01,0.01,25,Standard\Commodities\NATGAS
UKOIL.sml,Energia,"Brent Crude, USD",USD,USD,3,0.001,1.0,1000.0,1000.0,92.845,0.04,40,26.9,-31.9,69.3758,-82.271,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.01,0.01,13,Standard\Commodities\Commodities.sml\UKOIL.sml
USOIL.sml,Energia,"West Texas Crude, USD",USD,USD,3,0.001,1.0,1000.0,1000.0,86.571,0.03,30,9.4,-14.4,22.6046,-34.6284,estimado: (%/100)*precio*pointValueUSD/360 (modo INTEREST_CURRENT),0.01,0.01,13,Standard\Commodities\Commodities.sml\USOIL.sml
